time_idx,group_id,electricity_demand,hour,day_of_week,solar_generation,wind_generation,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24,rolling_mean_168,rolling_std_168
174,single,179546.62,11.0,2.0,-3.015,1913.506,163706.324,180438.41,201849.024,177227.87583333332,15440.06376434595,174573.15557142856,22455.08758931799
175,single,189767.42,12.0,2.0,6.763,1795.303,179546.62,190644.426,211655.664,177190.71791666668,15433.072894020132,174440.40316666669,22358.5871118618
176,single,189460.108,13.0,2.0,149.09,1686.265,189767.42,190852.678,210733.448,177154.176,15400.8372478794,174310.116,22203.665581080306
177,single,185796.15,14.0,2.0,413.891,1677.462,189460.108,190182.466,205284.804,177096.15225,15349.521059985358,174183.48897619048,22054.86234471115
178,single,182492.252,15.0,2.0,651.882,1100.516,185796.15,189282.702,200106.814,176913.3890833333,15212.432018376754,174067.48508333333,21941.256971194085
179,single,178819.124,16.0,2.0,848.221,607.913,182492.252,188168.886,196061.708,176630.45366666667,15034.480041367407,173962.6365,21858.008806950005
180,single,175721.496,17.0,2.0,939.618,433.699,178819.124,186247.708,193357.624,176240.88025000002,14842.405481560132,173860.00207142858,21794.008750786816
181,single,174074.794,18.0,2.0,911.259,560.139,175721.496,184806.098,192352.104,175802.28808333332,14688.575056338954,173755.0251190476,21741.94310440456
182,single,172424.03,19.0,2.0,793.384,1047.029,174074.794,183037.158,190629.162,175355.15041666667,14565.391870476968,173646.23160714286,21694.004453202797
183,single,172591.984,20.0,2.0,627.178,1998.738,172424.03,182041.112,191530.478,174912.93675,14482.897986443433,173537.86772619048,21654.09650672748
184,single,176808.234,21.0,2.0,180.776,3087.235,172591.984,184161.666,198200.896,174519.22308333332,14408.94253189749,173425.1385952381,21609.117102264096
