time_idx,group_id,target,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,month_sin,month_cos,lag_1,lag_24,lag_168,rolling_mean_24,rolling_mean_168,total_renewable_mw,net_load,high_demand_flag,peak_hour_flag,wind_generation_mw,solar_generation_mw
114,0,174265.946,23,6,1,1,-0.258819,0.965926,0.0,1.0,170318.214,167472.856,194798.742,147883.591,179400.921,997.883,173268.063,0,0,997.883,0.0
115,0,173102.182,0,0,1,0,0.0,1.0,0.0,1.0,174265.946,164704.846,194080.222,148166.636,179278.702,1185.886,171916.296,0,0,1185.886,0.0
116,0,170388.31,1,0,1,0,0.258819,0.965926,0.0,1.0,173102.182,161112.664,192609.19,148516.525,179153.833,1285.83,169102.48,0,0,1285.83,0.0
117,0,164957.048,2,0,1,0,0.5,0.866025,0.0,1.0,170388.31,156117.496,186651.192,148903.011,179021.566,1370.631,163586.417,0,0,1370.631,0.0
118,0,157817.146,3,0,1,0,0.707107,0.707107,0.0,1.0,164957.048,149774.12,178086.232,149271.325,178892.434,1375.214,156441.932,0,0,1375.214,0.0
119,0,150437.926,4,0,1,0,0.866025,0.5,0.0,1.0,157817.146,142513.49,170398.76,149606.451,178771.784,1856.87,148581.056,0,0,1856.87,0.0
120,0,145374.394,5,0,1,0,0.965926,0.258819,0.0,1.0,150437.926,135529.276,164990.156,149936.636,178652.97,2458.677,142915.717,0,0,2458.677,0.0
121,0,143083.216,6,0,1,0,1.0,0.0,0.0,1.0,145374.394,131523.976,161757.052,150346.85,178536.209,2885.331,140197.885,0,0,2885.331,0.0
122,0,142206.67,7,0,1,0,0.965926,-0.258819,0.0,1.0,143083.216,129138.616,160195.342,150828.485,178425.056,3049.741,139156.929,0,0,3049.741,0.0
123,0,143469.474,8,0,1,0,0.866025,-0.5,0.0,1.0,142206.67,127705.572,161195.578,151372.987,178317.98,3204.582,140264.892,0,0,3204.582,0.0
